,Unnamed: 0.1,Unnamed: 0,metal_amount_mmol,ligand_amount_mmol,reductant_amount_mmol,sol1_vol_mL,solv2_vol_mL,time_min,temp_c,7,8,9,10,11,size_nm,g_factor*10^4.1
139,139,139,0.5704196261593028,-0.3901123931302477,0.0028379824788159,1.7684595193400547,-0.5251573428569705,-0.5355924730872634,-0.1763746768188848,6.0,70.0,15.0,5.0,1.0,0.77,0.212236978
140,140,140,0.5704196261593028,0.1719501681922074,0.0028379824788159,1.7684595193400547,-0.5251573428569705,-0.5355924730872634,-0.1763746768188848,6.0,70.0,15.0,5.0,1.0,0.77,0.303195682
141,141,141,0.5704196261593028,-0.2027582060227627,0.0028379824788159,-0.276892418744013,1.549845230618693,-0.5355924730872634,-0.1763746768188848,6.0,79.0,15.0,9.0,4.0,1.4571428571428569,17
142,142,142,0.5704196261593028,-0.2027582060227627,0.0028379824788159,-0.276892418744013,1.549845230618693,-0.5355924730872634,-0.1763746768188848,6.0,79.0,15.0,9.0,4.0,1.3,6
143,143,143,0.5704196261593028,-0.2027582060227627,0.0028379824788159,-0.276892418744013,1.549845230618693,-0.5355924730872634,-0.1763746768188848,6.0,79.0,15.0,9.0,4.0,1.47,2
145,145,145,0.5704196261593028,-0.2027582060227627,0.0028379824788159,-0.276892418744013,1.549845230618693,-0.5355924730872634,-0.1763746768188848,6.0,79.0,15.0,9.0,4.0,1.86,1
147,147,147,0.5704196261593028,-0.2027582060227627,0.0028379824788159,-0.276892418744013,1.549845230618693,-0.5355924730872634,-0.1763746768188848,6.0,79.0,15.0,9.0,4.0,2.95,0
148,148,148,-0.7271658113983205,-0.4354271258519782,-0.2648727208823213,-0.7800489955126938,0.242593609329025,-0.4776755279315831,-0.1763746768188848,1.0,21.0,15.0,4.0,0.0,1.0,10.82841723
149,149,149,-0.7271658113983205,-0.4354271258519782,-0.2648727208823213,-0.7800489955126938,0.242593609329025,-0.4776755279315831,-0.1763746768188848,1.0,21.0,15.0,4.0,0.0,1.0,10.82841723
150,150,150,-0.2599013109078471,-0.3516423333775108,-0.2576308407208305,-0.6552825272895656,-0.5251573428569705,-0.4776755279315831,-0.1763746768188848,1.0,55.0,15.0,4.0,1.0,1.0,0
151,151,151,-0.2599013109078471,-0.3516423333775108,-0.2576308407208305,-0.6552825272895656,-0.5251573428569705,-0.4776755279315831,-0.1763746768188848,1.0,55.0,15.0,4.0,1.0,1.0,0
153,153,153,1.6849443739004435,-0.0328904097119762,0.0571249402111307,-0.5836952094566232,1.1348447159235602,-0.014339966686141,-0.1763746768188848,1.0,12.0,15.0,9.0,5.0,7.4,0.212236978
154,154,154,1.6849443739004435,-0.0328904097119762,0.27427277114039,-0.5836952094566232,1.1348447159235602,-0.014339966686141,-0.1763746768188848,1.0,15.0,15.0,9.0,5.0,3.5,10.61184889
155,155,155,-0.3769264094206669,-0.0528748563367746,-0.1817376738110544,-0.757550124193769,-0.4317822270505656,-0.014339966686141,-0.9970068536845296,1.0,16.0,15.0,9.0,2.0,1.0,0
156,156,156,-0.3769264094206669,-0.0528748563367746,-0.1687088039552988,-0.757550124193769,-0.4317822270505656,-0.014339966686141,-0.9970068536845296,1.0,71.0,15.0,9.0,2.0,1.0,15.15151515
159,159,159,1.4899025430457438,-0.1527970894607667,0.27427277114039,-0.7473233645033487,-0.3591571369789174,-0.5935094182429437,-0.1763746768188848,6.0,62.0,15.0,9.0,3.0,1.175,1.010652275
160,160,160,1.4899025430457438,-0.1527970894607667,0.27427277114039,-0.7473233645033487,-0.3591571369789174,-0.5935094182429437,-0.1763746768188848,6.0,71.0,15.0,9.0,3.0,1.175,2.165683446
161,161,161,1.4899025430457438,-0.1527970894607667,0.27427277114039,-0.7473233645033487,-0.3591571369789174,-0.5935094182429437,-0.1763746768188848,6.0,65.0,15.0,9.0,3.0,1.175,0.866273379
162,162,162,1.4899025430457438,-0.1527970894607667,0.27427277114039,-0.7473233645033487,-0.3591571369789174,-0.5935094182429437,-0.1763746768188848,6.0,76.0,15.0,9.0,3.0,1.175,0
163,163,163,1.4899025430457438,-0.1527970894607667,0.27427277114039,-0.7473233645033487,-0.3591571369789174,-0.5935094182429437,-0.1763746768188848,6.0,20.0,15.0,9.0,3.0,1.175,0
164,164,164,1.4899025430457438,-0.1527970894607667,0.27427277114039,-0.7473233645033487,-0.3591571369789174,-0.5935094182429437,-0.1763746768188848,6.0,14.0,15.0,9.0,3.0,1.175,0
